day_of_year,hour,consumption
18,15,0.250761767
18,16,0.255061955
18,17,0.256928463
18,18,0.253051076
18,19,0.25016366
18,20,0.242295451
18,21,0.227858371
18,22,0.21303974
18,23,0.198592348
19,0,0.187970782
19,1,0.181804086
19,2,0.178947607
19,3,0.178442309
19,4,0.183350916
19,5,0.192157535
19,6,0.220433587
19,7,0.240253636
19,8,0.251483621
19,9,0.256124111
19,10,0.255278511
19,11,0.258124678
19,12,0.258722786
19,13,0.260125245
19,14,0.255371321
19,15,0.253607935
19,16,0.257691566
19,17,0.258815596
19,18,0.254628842
19,19,0.252937642
19,20,0.246760634
19,21,0.232137934
19,22,0.216349956
19,23,0.202851286
20,0,0.191353183
20,1,0.186073337
20,2,0.18294874
20,3,0.183124048
20,4,0.186723005
20,5,0.196643342
20,6,0.225393755
20,7,0.244368203
20,8,0.255340384
20,9,0.26108428
20,10,0.262919851
20,11,0.266725053
20,12,0.266838487
20,13,0.266673492
20,14,0.260156182
20,15,0.257351263
20,16,0.259784942
20,17,0.260218055
20,18,0.254948521
20,19,0.251679553
20,20,0.243821657
20,21,0.229467074
20,22,0.212998491
20,23,0.199654504
21,0,0.187671728
21,1,0.180525373
21,2,0.176967664
21,3,0.175245527
21,4,0.176204561
21,5,0.177142972
21,6,0.187176742
21,7,0.195251195
21,8,0.207192722
21,9,0.218917694
21,10,0.224517218
21,11,0.228054303
21,12,0.22874522
21,13,0.228023366
21,14,0.222578525
21,15,0.21894863
21,16,0.223578808
21,17,0.225630936
21,18,0.22222791
21,19,0.220474836
21,20,0.213617223
21,21,0.203181277
21,22,0.192879389
21,23,0.180741929
22,0,0.169996617
22,1,0.163572116
22,2,0.159859724
22,3,0.157756036
22,4,0.158570699
22,5,0.159766915
22,6,0.165118946
22,7,0.167861992
22,8,0.178205128
22,9,0.190012597
22,10,0.199386387
22,11,0.204377492
22,12,0.205367463
22,13,0.206109941
22,14,0.201263207
22,15,0.195673995
22,16,0.19954107
22,17,0.205779951
22,18,0.206367746
22,19,0.207687708
22,20,0.203078155
22,21,0.195137761
22,22,0.188063591
22,23,0.178607304
23,0,0.169439758
23,1,0.166067669
23,2,0.163994917
23,3,0.164211473
23,4,0.169996617
23,5,0.182897179
23,6,0.215359985
23,7,0.237314659
23,8,0.249214937
23,9,0.257578132
23,10,0.258104054
23,11,0.262579549
23,12,0.26389951
23,13,0.26441512
23,14,0.257928746
23,15,0.253876052
23,16,0.256557224
23,17,0.257969995
23,18,0.254639155
23,19,0.253174822
23,20,0.247204058
23,21,0.230828285
23,22,0.215081555
23,23,0.200592914
24,0,0.188321396
24,1,0.183433414
24,2,0.181412222
24,3,0.181267852
24,4,0.18407277
24,5,0.193972482
24,6,0.22344475
24,7,0.242800749
24,8,0.253659496
24,9,0.258702161
